,binary
accuracy,0.9337589784517158
precision (binary),0.9650897226753671
recall (binary),0.9541935483870968
f1 (binary),0.9596107055961071
precision (macro),0.8802393858333608
recall (macro),0.8959131626609231
f1 (macro),0.8877876144388517
cohen kappa,0.7756081831879528
matthews corr.,0.7759942726941557
